file,generated_family,best_hit_family,best_hit_score
masked_25.fa,PF14522,PF14522,33.2
masked_25.fa,PF14522,PF14522,32.4
masked_25.fa,PF14522,PF14522,29.3
masked_25.fa,PF14522,PF14522,33.3
masked_25.fa,PF14522,PF14522,24.8
masked_25.fa,PF14522,PF14522,29.2
masked_25.fa,PF14522,PF14522,50.0
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,24.5
masked_25.fa,PF14522,PF14522,28.4
masked_25.fa,PF14522,PF14522,43.6
masked_25.fa,PF14522,PF14522,27.7
masked_25.fa,PF14522,PF14522,36.6
masked_25.fa,PF14522,PF14522,28.8
masked_25.fa,PF14522,PF14522,33.7
masked_25.fa,PF14522,PF14522,34.2
masked_25.fa,PF14522,PF14522,28.7
masked_25.fa,PF14522,PF14522,33.7
masked_25.fa,PF14522,PF14522,33.8
masked_25.fa,PF14522,PF14522,43.6
masked_25.fa,PF14522,PF14522,31.2
masked_25.fa,PF14522,PF14522,24.8
masked_25.fa,PF14522,PF14522,31.2
masked_25.fa,PF14522,PF14522,27.3
masked_25.fa,PF14522,PF14522,41.2
masked_25.fa,PF14522,PF14522,24.7
masked_25.fa,PF14522,PF14522,27.6
masked_25.fa,PF14522,PF14522,38.7
masked_25.fa,PF14522,PF14522,40.3
masked_25.fa,PF14522,PF14522,27.6
masked_25.fa,PF14522,PF14522,32.2
masked_25.fa,PF14522,PF14522,38.5
masked_25.fa,PF14522,PF14522,34.3
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,27.7
masked_25.fa,PF14522,PF14522,28.7
masked_25.fa,PF14522,PF14522,29.8
masked_25.fa,PF14522,PF14522,32.9
masked_25.fa,PF14522,PF14522,38.5
masked_25.fa,PF14522,PF14522,41.3
masked_25.fa,PF14522,PF14522,38.2
masked_25.fa,PF14522,PF14522,31.7
masked_25.fa,PF14522,PF14522,32.3
masked_25.fa,PF14522,PF14522,31.3
masked_25.fa,PF14522,PF14522,25.4
masked_25.fa,PF14522,PF14522,34.2
masked_25.fa,PF14522,PF14522,32.0
masked_25.fa,PF14522,PF14522,38.1
masked_25.fa,PF14522,PF14522,29.2
masked_25.fa,PF14522,PF14522,25.8
masked_25.fa,PF14522,PF14522,32.3
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,32.3
masked_25.fa,PF14522,PF14522,41.2
masked_25.fa,PF14522,PF14522,32.3
masked_25.fa,PF14522,PF14522,36.0
masked_25.fa,PF14522,PF14522,31.1
masked_25.fa,PF14522,PF14522,36.0
masked_25.fa,PF14522,PF14522,31.6
masked_25.fa,PF14522,PF14522,40.9
masked_25.fa,PF14522,PF14522,36.6
masked_25.fa,PF14522,PF14522,40.8
masked_25.fa,PF14522,,
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,34.0
masked_25.fa,PF14522,PF14522,29.5
masked_25.fa,PF14522,PF14522,34.0
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,25.4
masked_25.fa,PF14522,PF14522,31.5
masked_25.fa,PF14522,PF14522,28.6
masked_25.fa,PF14522,PF14522,23.7
masked_25.fa,PF14522,PF14522,35.3
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,36.0
masked_25.fa,PF14522,PF14522,36.8
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,26.4
masked_25.fa,PF14522,PF14522,33.4
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,33.1
masked_25.fa,PF14522,PF02085,26.4
masked_25.fa,PF14522,PF14522,35.2
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,28.6
masked_25.fa,PF14522,PF14522,29.7
masked_25.fa,PF14522,PF14522,24.6
masked_25.fa,PF14522,PF14522,30.5
masked_25.fa,PF14522,PF14522,27.1
masked_25.fa,PF14522,PF14522,35.7
masked_25.fa,PF14522,PF14522,30.5
masked_25.fa,PF14522,PF14537,37.0
masked_25.fa,PF14522,PF14522,34.4
masked_25.fa,PF14522,PF14522,26.3
masked_25.fa,PF14522,PF14522,35.8
masked_25.fa,PF14522,PF14522,25.9
masked_25.fa,PF14522,PF14522,27.6
masked_25.fa,PF14522,PF14522,25.5
masked_25.fa,PF14522,PF14522,29.9
masked_25.fa,PF14522,PF14522,37.2
masked_25.fa,PF14522,PF14522,31.9
masked_25.fa,PF14522,PF14522,30.7
masked_25.fa,PF14522,PF14522,34.8
masked_25.fa,PF14522,PF14522,28.4
masked_25.fa,PF14522,PF14522,37.3
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,39.7
masked_25.fa,PF14522,PF14522,37.4
masked_25.fa,PF14522,PF14522,36.5
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,30.8
masked_25.fa,PF14522,PF14522,33.7
masked_25.fa,PF14522,PF14522,33.2
masked_25.fa,PF14522,PF14522,45.0
masked_25.fa,PF14522,PF14522,43.8
masked_25.fa,PF14522,PF14522,35.6
masked_25.fa,PF14522,PF14522,33.7
masked_25.fa,PF14522,PF14522,37.3
masked_25.fa,PF14522,PF14522,33.4
masked_25.fa,PF14522,PF14522,35.6
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,30.0
masked_25.fa,PF14522,PF14522,36.8
masked_25.fa,PF14522,PF14522,33.3
masked_25.fa,PF14522,PF14522,24.3
masked_25.fa,PF14522,PF14522,34.2
masked_25.fa,PF14522,,
masked_25.fa,PF14522,PF14522,32.2
masked_25.fa,PF14522,PF14522,26.5
masked_25.fa,PF14522,PF14522,23.2
masked_25.fa,PF16428,PF16428,178.1
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,190.9
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,195.4
masked_25.fa,PF16428,PF16428,101.1
masked_25.fa,PF16428,PF16428,104.4
masked_25.fa,PF16428,PF16428,58.3
masked_25.fa,PF16428,PF16428,177.6
masked_25.fa,PF16428,PF16428,142.3
masked_25.fa,PF16428,PF16428,100.1
masked_25.fa,PF16428,PF16428,100.1
masked_25.fa,PF16428,PF16428,100.1
masked_25.fa,PF16428,PF16428,100.1
masked_25.fa,PF16428,PF16428,97.8
masked_25.fa,PF16428,PF16428,75.4
masked_25.fa,PF16428,PF16428,92.2
masked_25.fa,PF16428,PF16428,102.1
masked_25.fa,PF16428,PF16428,135.2
masked_25.fa,PF16428,PF16428,146.6
masked_25.fa,PF16428,PF16428,119.1
masked_25.fa,PF16428,PF16428,50.9
masked_25.fa,PF16428,PF16428,95.9
masked_25.fa,PF16428,PF16428,101.0
masked_25.fa,PF16428,PF16428,101.0
masked_25.fa,PF16428,PF16428,101.0
masked_25.fa,PF16428,PF16428,123.8
masked_25.fa,PF16428,PF16428,123.0
masked_25.fa,PF16428,PF16428,122.6
masked_25.fa,PF16428,PF16428,114.4
masked_25.fa,PF16428,PF16428,114.0
masked_25.fa,PF16428,PF16428,123.6
masked_25.fa,PF16428,PF16428,109.4
masked_25.fa,PF16428,PF16428,100.9
masked_25.fa,PF16428,PF16428,115.9
masked_25.fa,PF16428,PF16428,51.4
masked_25.fa,PF16428,PF16428,102.5
masked_25.fa,PF16428,PF16428,109.0
masked_25.fa,PF16428,PF16428,108.0
masked_25.fa,PF16428,PF16428,99.4
masked_25.fa,PF16428,PF16428,113.6
masked_25.fa,PF16428,PF16428,148.3
masked_25.fa,PF16428,PF16428,153.5
masked_25.fa,PF16428,PF16428,134.9
masked_25.fa,PF16428,PF16428,120.9
masked_25.fa,PF16428,PF16428,107.7
masked_25.fa,PF16428,PF16428,123.4
masked_25.fa,PF16428,PF16428,123.4
masked_25.fa,PF16428,PF16428,128.7
masked_25.fa,PF16428,PF16428,95.5
masked_25.fa,PF16428,PF16428,152.2
masked_25.fa,PF16428,PF16428,97.2
masked_25.fa,PF16428,PF16428,130.5
masked_25.fa,PF16428,PF16428,77.7
masked_25.fa,PF16428,PF16428,187.5
masked_25.fa,PF16428,PF16428,133.8
masked_25.fa,PF16428,PF16428,137.5
masked_25.fa,PF16428,PF16428,137.5
masked_25.fa,PF16428,PF16428,75.6
masked_25.fa,PF16428,PF16428,162.6
masked_25.fa,PF16428,PF16428,50.6
masked_25.fa,PF16428,PF16428,196.0
masked_25.fa,PF16428,PF16428,196.0
masked_25.fa,PF16428,PF16428,95.4
masked_25.fa,PF16428,PF16428,173.8
masked_25.fa,PF16428,PF16428,78.7
masked_25.fa,PF16428,PF16428,100.4
masked_25.fa,PF16428,PF16428,39.9
masked_25.fa,PF16428,PF16428,53.3
masked_25.fa,PF16428,PF16428,50.0
masked_25.fa,PF16428,PF16428,50.0
masked_25.fa,PF16428,PF16428,54.8
masked_25.fa,PF16428,PF16428,30.9
masked_25.fa,PF16428,PF16428,30.1
masked_25.fa,PF16428,PF16428,55.0
masked_25.fa,PF15281,PF15281,43.2
masked_25.fa,PF15281,PF15281,61.4
masked_25.fa,PF15281,PF15281,52.5
masked_25.fa,PF15281,PF15281,51.7
masked_25.fa,PF15281,PF15281,53.7
masked_25.fa,PF15281,PF15281,49.7
masked_25.fa,PF15281,PF15281,58.9
masked_25.fa,PF15281,PF15281,56.4
masked_25.fa,PF15281,PF15281,66.0
masked_25.fa,PF15281,PF15281,58.9
masked_25.fa,PF15281,PF15281,63.1
masked_25.fa,PF15281,PF15281,58.7
masked_25.fa,PF15281,PF15281,66.0
masked_25.fa,PF15281,PF15281,53.8
masked_25.fa,PF15281,PF15281,50.6
masked_25.fa,PF15281,PF15281,53.8
masked_25.fa,PF15281,PF15281,53.4
masked_25.fa,PF15281,PF15281,51.5
masked_25.fa,PF15281,PF15281,45.4
masked_25.fa,PF15281,PF15281,57.2
masked_25.fa,PF15281,PF15281,61.2
masked_25.fa,PF15281,PF15281,57.0
masked_25.fa,PF15281,PF15281,52.1
masked_25.fa,PF15281,PF15281,54.0
masked_25.fa,PF15281,PF15281,46.6
masked_25.fa,PF15281,PF15281,58.1
masked_25.fa,PF15281,PF15281,52.9
masked_25.fa,PF15281,PF15281,61.4
masked_25.fa,PF15281,PF15281,57.6
masked_25.fa,PF15281,PF15281,62.0
masked_25.fa,PF15281,PF15281,57.0
masked_25.fa,PF15281,PF15281,52.4
masked_25.fa,PF15281,PF15281,51.4
masked_25.fa,PF15281,PF15281,49.4
masked_25.fa,PF15281,PF15281,51.5
masked_25.fa,PF15281,PF15281,56.3
masked_25.fa,PF15281,PF15281,58.7
masked_25.fa,PF15281,PF15281,55.9
masked_25.fa,PF15281,PF15281,57.0
masked_25.fa,PF15281,PF15281,60.3
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,61.0
masked_25.fa,PF15281,PF15281,55.2
masked_25.fa,PF15281,PF15281,61.9
masked_25.fa,PF15281,PF15281,60.4
masked_25.fa,PF15281,PF15281,50.4
masked_25.fa,PF15281,PF15281,52.3
masked_25.fa,PF15281,PF15281,58.9
masked_25.fa,PF15281,PF15281,48.9
masked_25.fa,PF15281,PF15281,64.4
masked_25.fa,PF15281,PF15281,64.6
masked_25.fa,PF15281,PF15281,55.7
masked_25.fa,PF15281,PF15281,55.9
masked_25.fa,PF15281,PF15281,62.5
masked_25.fa,PF15281,PF15281,62.5
masked_25.fa,PF15281,PF15281,65.7
masked_25.fa,PF15281,PF15281,64.0
masked_25.fa,PF15281,PF15281,57.1
masked_25.fa,PF15281,PF15281,71.3
masked_25.fa,PF15281,PF15281,55.3
masked_25.fa,PF15281,PF15281,54.5
masked_25.fa,PF15281,PF15281,63.9
masked_25.fa,PF15281,PF15281,49.5
masked_25.fa,PF15281,PF15281,50.2
masked_25.fa,PF15281,PF15281,54.1
masked_25.fa,PF15281,PF15281,43.0
masked_25.fa,PF15281,PF15281,49.8
masked_25.fa,PF15281,PF15281,46.2
masked_25.fa,PF15281,PF15281,70.8
masked_25.fa,PF15281,PF15281,52.5
masked_25.fa,PF15281,PF15281,55.5
masked_25.fa,PF15281,PF15281,71.3
masked_25.fa,PF15281,PF15281,74.6
masked_25.fa,PF15281,PF15281,47.6
masked_25.fa,PF15281,PF15281,47.6
masked_25.fa,PF15281,PF15281,46.5
masked_25.fa,PF15281,PF15281,71.3
masked_25.fa,PF15281,PF15281,45.4
masked_25.fa,PF15281,PF15281,49.4
masked_25.fa,PF15281,PF15281,52.2
masked_25.fa,PF15281,PF15281,22.6
masked_25.fa,PF15281,PF15281,44.4
masked_25.fa,PF15281,PF15281,57.6
masked_25.fa,PF15281,PF15281,62.5
masked_25.fa,PF15281,PF15281,51.0
masked_25.fa,PF15281,PF15281,64.6
masked_25.fa,PF15281,PF15281,63.7
masked_25.fa,PF15281,PF15281,66.2
masked_25.fa,PF15281,PF15281,66.2
masked_25.fa,PF15281,PF15281,27.9
masked_25.fa,PF15281,PF15281,30.4
masked_25.fa,PF15281,PF15281,61.9
masked_25.fa,PF15281,PF15281,42.3
masked_25.fa,PF15281,PF15281,63.4
masked_25.fa,PF15281,PF15281,69.5
masked_25.fa,PF15281,PF15281,40.1
masked_25.fa,PF15281,PF15281,47.1
masked_25.fa,PF15281,PF15281,63.6
masked_25.fa,PF15281,PF15281,45.2
masked_25.fa,PF15281,PF15281,45.2
masked_25.fa,PF15281,PF15281,45.2
masked_25.fa,PF15281,PF15281,45.2
masked_25.fa,PF15281,PF15281,45.2
masked_25.fa,PF15281,PF15281,41.3
masked_25.fa,PF15281,PF15281,42.7
masked_25.fa,PF15281,PF15281,32.5
masked_25.fa,PF15281,PF15281,33.0
masked_25.fa,PF15281,PF15281,32.0
masked_25.fa,PF15281,PF15281,37.9
masked_25.fa,PF15281,PF15281,42.0
masked_25.fa,PF15281,PF15281,32.6
masked_25.fa,PF15281,PF15281,37.6
masked_25.fa,PF15281,PF15281,35.1
masked_25.fa,PF15281,PF15281,35.0
masked_25.fa,PF15281,PF15281,29.7
masked_25.fa,PF15281,PF15281,36.3
masked_25.fa,PF15281,PF15281,34.1
masked_25.fa,PF15281,PF15281,27.6
masked_25.fa,PF15281,PF15281,27.9
masked_25.fa,PF15281,PF15281,25.6
masked_25.fa,PF15281,PF15281,24.1
masked_25.fa,PF15281,PF15281,26.5
masked_25.fa,PF15281,PF15281,25.7
masked_25.fa,PF15281,PF15281,27.0
masked_25.fa,PF15281,PF15281,27.0
masked_25.fa,PF15281,PF15281,27.8
masked_25.fa,PF15281,PF15281,26.6
masked_25.fa,PF15281,PF15281,27.0
masked_25.fa,PF15281,PF15281,26.4
masked_25.fa,PF15281,PF15281,26.4
masked_25.fa,PF15281,PF15281,25.5
masked_25.fa,PF15281,PF15281,27.2
masked_25.fa,PF15281,PF15281,24.5
masked_25.fa,PF15281,PF15281,27.3
masked_25.fa,PF15281,PF15281,27.3
masked_25.fa,PF15281,PF15281,25.8
masked_25.fa,PF15281,PF15281,26.6
masked_25.fa,PF15281,PF15281,26.6
masked_25.fa,PF15281,PF15281,72.5
masked_25.fa,PF15281,PF15281,26.6
masked_25.fa,PF15281,PF15281,25.9
masked_25.fa,PF15281,PF15281,75.7
masked_25.fa,PF15281,PF15281,87.3
masked_25.fa,PF15281,PF15281,72.7
masked_25.fa,PF15281,PF15281,26.7
masked_25.fa,PF15281,PF15281,26.7
masked_25.fa,PF15281,PF15281,26.7
masked_25.fa,PF15281,PF15281,26.7
masked_25.fa,PF15281,PF15281,26.7
masked_25.fa,PF15281,PF15281,67.8
masked_25.fa,PF15281,PF15281,31.1
masked_25.fa,PF15281,PF15281,69.4
masked_25.fa,PF15281,PF15281,74.0
masked_25.fa,PF15281,PF15281,60.3
masked_25.fa,PF15281,PF15281,60.3
masked_25.fa,PF15281,PF15281,86.5
masked_25.fa,PF15281,PF15281,71.7
masked_25.fa,PF15281,PF15281,22.2
masked_25.fa,PF15281,PF15281,77.7
masked_25.fa,PF15281,PF15281,71.7
masked_25.fa,PF15281,PF15281,27.4
masked_25.fa,PF15281,PF15281,69.4
masked_25.fa,PF15281,PF15281,30.2
masked_25.fa,PF15281,PF15281,30.2
masked_25.fa,PF15281,PF15281,67.2
masked_25.fa,PF15281,PF15281,24.0
masked_25.fa,PF15281,PF15281,73.1
masked_25.fa,PF15281,PF15281,67.2
masked_25.fa,PF15281,PF15281,67.2
masked_25.fa,PF15281,PF15281,77.0
masked_25.fa,PF15281,PF15281,64.9
masked_25.fa,PF15281,PF15281,87.6
masked_25.fa,PF15281,PF15281,78.3
masked_25.fa,PF15281,PF15281,27.3
masked_25.fa,PF15281,PF15281,76.2
masked_25.fa,PF15281,PF15281,76.2
masked_25.fa,PF15281,PF15281,72.2
masked_25.fa,PF15281,PF15281,87.6
masked_25.fa,PF15281,PF15281,68.5
masked_25.fa,PF15281,PF15281,67.5
masked_25.fa,PF15281,PF15281,67.9
masked_25.fa,PF15281,PF15281,33.8
masked_25.fa,PF15281,PF15281,103.8
masked_25.fa,PF15281,PF15281,33.8
masked_25.fa,PF15281,PF15281,67.2
masked_25.fa,PF15281,PF15281,33.2
masked_25.fa,PF15281,PF15281,100.2
masked_25.fa,PF15281,PF15281,64.9
masked_25.fa,PF15281,PF15281,24.9
masked_25.fa,PF15281,PF15281,24.9
masked_25.fa,PF15281,PF15281,63.0
masked_25.fa,PF15281,PF15281,106.0
masked_25.fa,PF15281,PF15281,106.0
masked_25.fa,PF15281,PF15281,91.7
masked_25.fa,PF15281,PF15281,64.0
masked_25.fa,PF15281,PF15281,21.8
masked_25.fa,PF16998,PF16998,52.9
masked_25.fa,PF16998,PF16998,60.4
masked_25.fa,PF16998,PF16998,61.2
masked_25.fa,PF16998,PF16998,62.7
masked_25.fa,PF16998,PF16998,64.1
masked_25.fa,PF16998,PF16998,56.6
masked_25.fa,PF16998,PF16998,58.0
masked_25.fa,PF16998,PF16998,56.0
masked_25.fa,PF16998,PF16998,67.4
masked_25.fa,PF16998,PF16998,55.8
masked_25.fa,PF16998,PF16998,60.7
masked_25.fa,PF16998,PF16998,67.9
masked_25.fa,PF16998,PF16998,54.9
masked_25.fa,PF16998,PF16998,69.3
masked_25.fa,PF16998,PF16998,57.0
masked_25.fa,PF16998,PF16998,56.6
masked_25.fa,PF16998,PF16998,63.6
masked_25.fa,PF16998,PF16998,69.1
masked_25.fa,PF16998,PF16998,65.2
masked_25.fa,PF16998,PF16998,99.9
masked_25.fa,PF16998,PF16998,104.5
masked_25.fa,PF16998,PF16998,47.6
masked_25.fa,PF16998,PF16998,67.9
masked_25.fa,PF16998,PF16998,96.6
masked_25.fa,PF16998,PF16998,69.5
masked_25.fa,PF16998,PF16998,52.1
masked_25.fa,PF16998,PF16998,46.9
masked_25.fa,PF16998,PF16998,45.8
masked_25.fa,PF16998,PF16998,101.2
masked_25.fa,PF16998,PF16998,95.8
masked_25.fa,PF16998,PF16998,95.8
masked_25.fa,PF16998,PF16998,96.5
masked_25.fa,PF16998,PF16998,53.7
masked_25.fa,PF16998,PF16998,95.8
masked_25.fa,PF16998,PF16998,96.4
masked_25.fa,PF16998,PF16998,53.7
masked_25.fa,PF16998,PF16998,53.7
masked_25.fa,PF16998,PF16998,59.3
masked_25.fa,PF16998,PF16998,59.7
masked_25.fa,PF16998,PF16998,53.1
masked_25.fa,PF16998,PF16998,80.7
masked_25.fa,PF16998,PF16998,98.1
masked_25.fa,PF16998,PF16998,92.3
masked_25.fa,PF16998,PF16998,64.8
masked_25.fa,PF16998,PF16998,91.1
masked_25.fa,PF16998,PF16998,53.7
masked_25.fa,PF16998,PF16998,61.0
masked_25.fa,PF16998,PF16998,76.9
masked_25.fa,PF16998,PF16998,41.9
masked_25.fa,PF16998,PF16998,85.1
masked_25.fa,PF16998,PF16998,49.9
masked_25.fa,PF16998,PF16998,45.8
masked_25.fa,PF16998,PF16998,45.9
masked_25.fa,PF16998,PF16998,55.2
masked_25.fa,PF16998,PF16998,44.7
masked_25.fa,PF16998,PF16998,52.7
masked_25.fa,PF16998,PF16998,50.9
masked_25.fa,PF16998,PF16998,51.0
masked_25.fa,PF16998,PF16998,46.3
masked_25.fa,PF16998,PF16998,43.8
masked_25.fa,PF16998,PF16998,39.9
masked_25.fa,PF16998,PF16998,65.7
masked_25.fa,PF16998,PF16998,67.3
masked_25.fa,PF16998,PF16998,50.7
masked_25.fa,PF16998,PF16998,56.0
masked_25.fa,PF16998,PF16998,49.1
masked_25.fa,PF16998,PF16998,47.5
masked_25.fa,PF16998,PF16998,68.1
masked_25.fa,PF16998,PF16998,37.1
masked_25.fa,PF16998,PF16998,50.6
masked_25.fa,PF16998,PF16998,64.0
masked_25.fa,PF16998,PF16998,44.4
masked_25.fa,PF16998,PF16998,51.7
masked_25.fa,PF16998,PF16998,65.7
masked_25.fa,PF16998,PF16998,51.7
masked_25.fa,PF16998,PF16998,64.9
masked_25.fa,PF16998,PF16998,70.3
masked_25.fa,PF16998,PF16998,69.3
masked_25.fa,PF16998,PF16998,61.5
masked_25.fa,PF16998,PF16998,62.9
masked_25.fa,PF16998,PF16998,71.0
masked_25.fa,PF16998,PF16998,59.6
masked_25.fa,PF16998,PF16998,66.3
masked_25.fa,PF16998,PF16998,44.1
masked_25.fa,PF16998,PF16998,70.6
masked_25.fa,PF16998,PF16998,34.3
masked_25.fa,PF16998,PF16998,35.3
masked_25.fa,PF16998,PF16998,43.3
masked_25.fa,PF16998,PF16998,34.7
masked_25.fa,PF16998,PF16998,34.0
masked_25.fa,PF16998,PF16998,32.0
masked_25.fa,PF16998,PF16998,35.3
masked_25.fa,PF16998,PF16998,57.1
masked_25.fa,PF16998,PF16998,44.1
masked_25.fa,PF16998,PF16998,74.6
masked_25.fa,PF16998,PF16998,43.6
masked_25.fa,PF16998,PF16998,46.5
masked_25.fa,PF16998,PF16998,69.5
masked_25.fa,PF16998,PF16998,41.9
masked_25.fa,PF16998,PF16998,32.3
masked_25.fa,PF16998,PF16998,53.7
masked_25.fa,PF16998,PF16998,32.5
masked_25.fa,PF16998,PF16998,30.3
masked_25.fa,PF16998,PF16998,46.7
masked_25.fa,PF16998,PF16998,32.9
masked_25.fa,PF16998,PF16998,32.3
masked_25.fa,PF16998,PF16998,72.3
masked_25.fa,PF16998,PF16998,83.5
masked_25.fa,PF16998,PF16998,34.7
masked_25.fa,PF16998,PF16998,81.7
masked_25.fa,PF16998,PF16998,81.7
masked_25.fa,PF16998,PF16998,47.5
masked_25.fa,PF16998,PF16998,83.0
masked_25.fa,PF16998,PF16998,75.8
masked_25.fa,PF16998,PF16998,43.2
masked_25.fa,PF16998,PF16998,81.9
masked_25.fa,PF16998,PF16998,57.2
masked_25.fa,PF16998,PF16998,68.9
masked_25.fa,PF16998,PF16998,80.9
masked_25.fa,PF16998,PF16998,47.0
masked_25.fa,PF16998,PF16998,46.0
masked_25.fa,PF16998,PF16998,85.0
masked_25.fa,PF16998,PF16998,43.4
masked_25.fa,PF16998,PF16998,32.6
masked_25.fa,PF16998,PF16998,75.5
masked_25.fa,PF16998,PF16998,27.8
masked_25.fa,PF16998,PF16998,43.6
masked_25.fa,PF16998,PF16998,43.6
masked_25.fa,PF16998,PF16998,42.0
masked_25.fa,PF16998,PF16998,49.2
masked_25.fa,PF16998,PF16998,49.2
masked_25.fa,PF16998,PF16998,49.2
masked_25.fa,PF16998,PF16998,49.2
masked_25.fa,PF16998,PF16998,53.8
masked_25.fa,PF16998,PF16998,49.2
masked_25.fa,PF16998,PF16998,43.6
masked_25.fa,PF16998,PF16998,40.7
masked_25.fa,PF16998,PF16998,49.7
masked_25.fa,PF16998,PF16998,59.8
masked_25.fa,PF16998,PF16998,53.0
masked_25.fa,PF16998,PF16998,49.0
masked_25.fa,PF16998,PF16998,49.6
masked_25.fa,PF16998,PF16998,46.4
masked_25.fa,PF16998,PF16998,44.5
